date,description,amount,category,notes
2025-02-03,Adobe Creative Cloud,146.52,Software / Subscriptions,
2025-04-21,Phone bill,165.54,Utilities,
2025-02-01,Gas station,97.52,Transport,
2025-06-10,Taxi fare,346.06,Transport,
2025-06-11,Github monthly fee,80.35,Software / Subscriptions,
2025-05-16,Team outing meal,452.34,Meals & Entertainment,
2025-03-28,Train ticket,96.54,Transport,
2025-03-09,Paper reams,71.3,Office Supplies,
2025-07-08,Dropbox subscription,302.25,Software / Subscriptions,
2025-03-29,Printer ink,69.32,Office Supplies,
2025-02-02,Gym membership,19.21,Health & Wellness,
2025-07-16,Workshop registration,388.19,Education,
2025-02-09,Webinar ticket,146.3,Education,
2025-03-27,Dinner meeting,43.64,Meals & Entertainment,
2025-07-14,Doctor visit,225.71,Health & Wellness,
2025-07-26,Airport shuttle,423.64,Travel,
2025-05-07,Car rental,306.94,Travel,
2025-07-25,Gym membership,425.34,Health & Wellness,
2025-03-02,Textbook purchase,68.49,Education,
2025-05-19,Medication purchase,97.56,Health & Wellness,
2025-03-06,Client invoice payment,1836.58,Income,
2025-02-17,Charity donation,247.19,Miscellaneous,
2025-01-18,Online course,182.22,Education,
2025-03-31,Office decoration,80.28,Miscellaneous,
2025-06-13,Amazon office supplies,37.93,Office Supplies,
2025-07-14,Slack subscription,44.93,Software / Subscriptions,
2025-03-26,Yoga class,469.24,Health & Wellness,
2025-03-21,Online course,451.64,Education,
2025-05-25,Coffee shop snack,289.25,Meals & Entertainment,
2025-03-19,Pens and markers,332.6,Office Supplies,
2025-05-23,Magazine subscription,339.25,Miscellaneous,
2025-03-01,Gas station,487.51,Transport,
2025-03-25,Webinar ticket,354.15,Education,
2025-01-18,Gas station,178.38,Transport,
2025-01-18,Phone bill,116.18,Utilities,
2025-06-26,Conference fee,126.08,Education,
2025-01-02,Travel insurance,131.1,Travel,
2025-02-05,Flyer printing,325.82,Marketing,
2025-02-02,Facebook ads,109.25,Marketing,
2025-04-20,Adobe Creative Cloud,343.16,Software / Subscriptions,
2025-02-13,Client invoice payment,1617.26,Income,
2025-01-23,Coffee shop snack,116.8,Meals & Entertainment,
2025-06-19,Starbucks coffee,485.99,Meals & Entertainment,
2025-07-03,Airport shuttle,100.5,Travel,
2025-03-15,Yoga class,180.78,Health & Wellness,
2025-02-18,Lunch with client,350.56,Meals & Entertainment,
2025-01-17,Flyer printing,176.31,Marketing,
2025-02-15,Facebook ads,6.15,Marketing,
2025-02-27,Phone bill,18.98,Utilities,
2025-04-07,Gas station,457.61,Transport,
2025-03-20,Facebook ads,243.57,Marketing,
2025-06-02,Travel insurance,157.07,Travel,
2025-06-16,Magazine subscription,375.46,Miscellaneous,
2025-05-19,Gym membership,393.87,Health & Wellness,
2025-02-08,SEO tools subscription,367.03,Marketing,
2025-01-31,Team outing meal,394.81,Meals & Entertainment,
2025-04-12,Team outing meal,218.2,Meals & Entertainment,
2025-03-26,Yoga class,76.09,Health & Wellness,
2025-03-01,Book purchase,66.98,Miscellaneous,
2025-06-12,Workshop registration,144.26,Education,
2025-06-17,Printer ink,455.43,Office Supplies,
2025-04-02,Travel insurance,216.33,Travel,
2025-05-16,Health insurance,341.77,Health & Wellness,
2025-04-02,Github monthly fee,267.33,Software / Subscriptions,
2025-05-08,Online course,119.4,Education,
2025-06-02,Affiliate revenue,1358.87,Income,
2025-03-10,Team outing meal,148.92,Meals & Entertainment,
2025-04-28,Google Ads campaign,25.24,Marketing,
2025-05-04,Doctor visit,18.59,Health & Wellness,
2025-03-28,Flyer printing,456.74,Marketing,
2025-05-03,Staples purchase,128.91,Office Supplies,
2025-01-12,Lunch with client,487.65,Meals & Entertainment,
2025-06-04,Staples purchase,266.38,Office Supplies,
2025-03-20,Electricity bill,249.62,Utilities,
2025-06-08,Freelance payment,1740.12,Income,
2025-03-16,Yoga class,184.06,Health & Wellness,
2025-05-27,Freelance payment,1699.86,Income,
2025-02-22,Water bill,226.14,Utilities,
2025-07-08,Printer ink,363.79,Office Supplies,
2025-03-07,Team outing meal,94.35,Meals & Entertainment,
2025-01-13,Starbucks coffee,50.42,Meals & Entertainment,
2025-02-15,Starbucks coffee,221.53,Meals & Entertainment,
2025-07-14,Charity donation,255.69,Miscellaneous,
2025-01-16,Medication purchase,344.15,Health & Wellness,
2025-04-23,Phone bill,61.35,Utilities,
2025-04-13,Uber ride,378.47,Transport,
2025-02-18,Starbucks coffee,187.61,Meals & Entertainment,
2025-02-21,Consulting income,976.53,Income,
2025-03-14,Online course,308.9,Education,
2025-02-12,Water bill,257.4,Utilities,
2025-01-04,Github monthly fee,387.07,Software / Subscriptions,
2025-07-11,Flight ticket,416.2,Travel,
2025-04-02,Parking fee,107.91,Transport,
2025-01-09,Sponsored post,100.91,Marketing,
2025-05-04,Team outing meal,349.62,Meals & Entertainment,
2025-05-18,Train ticket,375.61,Transport,
2025-05-11,Gym membership,195.57,Health & Wellness,
2025-06-13,Dropbox subscription,203.5,Software / Subscriptions,
2025-05-28,Medication purchase,277.53,Health & Wellness,
2025-03-25,Conference fee,46.39,Education,
2025-04-30,Adobe Creative Cloud,356.69,Software / Subscriptions,
2025-05-23,Consulting income,495.71,Income,
2025-03-14,Webinar ticket,422.49,Education,
2025-04-13,Dinner meeting,363.48,Meals & Entertainment,
2025-05-05,Dinner meeting,442.8,Meals & Entertainment,
2025-06-26,Freelance payment,1187.02,Income,
2025-05-31,Webinar ticket,155.03,Education,
2025-04-25,Flight ticket,419.07,Travel,
